,fecha,lat,lng,promo1_precio,preciolista,promo2_precio,compra,venta,promedio
0,2022-06-11,-35.39648500920409,-60.47592768670863,105.0309696969697,122.29728239202657,121.7498190045249,206.0,210.0,208.0
1,2022-06-12,-35.46075733313047,-60.27510081337421,104.4390243902439,122.77297058823528,121.72647590361447,206.0,210.0,208.0
2,2022-06-13,-35.401847764215816,-60.47538804007756,105.0309696969697,123.7712450066578,106.15125377643506,212.0,216.0,214.0
3,2022-06-14,-35.58912882567433,-60.34145175368023,103.23703703703704,124.06269121813031,106.15125377643506,220.0,224.0,222.0
4,2022-06-15,-35.58912882567433,-60.34145175368023,103.23703703703704,124.06269121813031,106.15125377643506,213.0,217.0,215.0
5,2022-06-16,-35.59029275183898,-60.35246021497985,109.0,128.23779505300354,121.7498190045249,212.0,216.0,214.0
6,2022-06-17,-36.05106819943404,-60.84135462520299,123.0,131.53893595041322,121.7498190045249,212.0,216.0,214.0
7,2022-06-18,-36.05106819943404,-60.84135462520299,123.0,131.53893595041322,121.7498190045249,212.0,216.0,214.0
8,2022-06-19,-35.91877706724009,-60.760494197909104,123.0,131.4252625820569,121.7498190045249,212.0,216.0,214.0
9,2022-06-20,-35.91877706724009,-60.760494197909104,123.0,131.4252625820569,121.7498190045249,212.0,216.0,214.0
10,2022-06-21,-36.57157700976955,-61.42894107090237,123.0,130.5756972111554,105.18273504273503,216.0,220.0,218.0
11,2022-06-22,-35.640904278042356,-60.395759262998176,123.0,128.52766933721776,100.98616084977239,220.0,224.0,222.0
12,2022-06-23,-35.46218578863314,-60.5328027449181,122.76125,129.63032480995162,121.86759878419454,220.0,224.0,222.0
13,2022-06-24,-35.65349295612558,-60.42888648468745,123.0,130.06123226288275,121.96311926605506,222.0,226.0,224.0
14,2022-06-25,-35.46091758809677,-60.56495288372174,125.04142857142857,130.2715209665956,123.0686963190184,222.0,226.0,224.0
15,2022-06-26,-35.354664661115535,-60.51368806751912,122.258,130.19851320754717,123.0686963190184,222.0,226.0,224.0
16,2022-06-27,-35.354664661115535,-60.51368806751912,122.258,130.19851320754717,123.0686963190184,228.0,232.0,230.0
17,2022-06-28,-35.464216580200706,-60.60265721452544,122.50999999999999,130.37576696165192,107.17826153846153,235.0,239.0,237.0
18,2022-06-29,-35.45464274181776,-60.61223403916031,114.918,130.41333333333333,101.97489263803682,235.0,239.0,237.0
19,2022-06-30,-35.48698260618995,-60.65895261806871,122.37,131.42531511009872,123.11694915254236,234.0,238.0,236.0
20,2022-07-01,-35.62211340671752,-60.42084311808733,123.0,134.4689052795031,128.21706870229008,235.0,239.0,237.0
21,2022-07-02,-35.5502135894155,-60.31057509384359,123.0,134.18677655677658,128.1696194824962,235.0,239.0,237.0
22,2022-07-03,-35.38654654372915,-60.17140858324413,123.0,133.9796076980015,128.0755824508321,235.0,239.0,237.0
23,2022-07-04,-35.31475654643477,-60.35635003699766,124.92833333333334,133.32969333333335,111.64820783132531,250.0,260.0,255.0
24,2022-07-05,-35.31757799446796,-60.36793209045493,125.71272727272726,133.77980119284294,111.64820783132531,242.0,252.0,247.0
25,2022-07-06,-35.396322961006675,-60.404972163269704,118.88,133.89961892247044,106.26805722891567,245.0,255.0,250.0
26,2022-07-07,-35.396322961006675,-60.404972163269704,118.88,133.89961892247044,106.26805722891567,247.0,257.0,252.0
27,2022-07-08,-36.15870746742332,-61.236647686312104,126.72266666666665,135.79582631578947,112.68624999999999,263.0,273.0,268.0
28,2022-07-09,-35.53381337637967,-60.310213740072776,126.72266666666665,136.45909279778394,132.71329819277108,263.0,273.0,268.0
29,2022-07-10,-35.42886456743618,-60.21799439940245,126.72266666666665,136.5775374732334,132.71329819277108,263.0,273.0,268.0
30,2022-07-11,-35.38548489144404,-60.38340133737475,125.835625,137.392531147541,116.85457013574661,258.0,268.0,263.0
31,2022-07-12,-35.52802132656076,-60.28278253906545,125.835625,138.72993145990404,116.85457013574661,262.0,272.0,267.0
32,2022-07-13,-35.39648003166808,-60.39409551601078,121.71400000000001,137.97333986928103,110.44781297134237,273.0,283.0,278.0
33,2022-07-14,-35.40453170630506,-60.42012445603729,124.32499999999999,139.27856105610562,119.23716666666665,279.0,289.0,284.0
34,2022-07-15,-35.52257664924754,-60.315934247358804,124.32499999999999,139.64834132967786,119.04016393442623,283.0,293.0,288.0
35,2022-07-16,-35.400975525018,-60.45449688528595,124.16407407407407,139.71316766070245,118.9288524590164,283.0,293.0,288.0
36,2022-07-17,-35.30348113059424,-60.40237302906012,123.45500000000001,139.95611495844875,119.01388429752066,283.0,293.0,288.0
37,2022-07-18,-35.42005560990804,-60.477169371512005,123.08375000000001,139.71945963975983,118.21133333333333,281.0,291.0,286.0
38,2022-07-19,-35.55979752095025,-60.38140306502527,123.08375000000001,140.00999307479225,118.21133333333333,291.0,301.0,296.0
39,2022-07-20,-35.43990595376742,-60.51015556213617,121.75399999999999,141.42864828513785,118.21133333333333,307.0,317.0,312.0
40,2022-07-21,-35.57740903222217,-60.42371857989915,121.75399999999999,142.14051300070275,119.44033613445377,327.0,337.0,332.0
41,2022-07-22,-35.57740903222217,-60.42371857989915,121.75399999999999,142.14051300070275,119.44033613445377,328.0,338.0,333.0
42,2022-07-23,-35.58514168205742,-60.435946374925855,121.75399999999999,142.24465616045845,119.44033613445377,328.0,338.0,333.0
43,2022-07-24,-35.49268673192571,-60.390963292688035,121.75399999999999,142.81179059180576,119.44136752136751,328.0,338.0,333.0
44,2022-07-25,-35.615424277620626,-60.47340670827582,121.75399999999999,142.30211721611724,118.1498245614035,312.0,322.0,317.0
45,2022-07-26,-35.623854128483984,-60.475393004103005,121.75399999999999,143.9741862170088,118.16052173913043,313.0,323.0,318.0
46,2022-07-27,-35.62873801632131,-60.47845123687472,121.75399999999999,144.00207434944238,118.13893805309733,316.0,326.0,321.0
