,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1089296,1089296,sucursales,1,-34.572029,-58.477695,535 - VILLA URQUIZA,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Olazabal 4324 (Villa Urquiza) ,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089297,1089297,sucursales,1,-34.63899,-58.362526,536 - LA BOCA,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Gral.Gregorio Araoz De Lamadrid 728 (Boca) ,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089298,1089298,sucursales,1,-34.577265,-58.405981,537 - PALERMO,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Jeronimo Salguero 3044 (Palermo) ,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089299,1089299,sucursales,1,-34.596076,-58.438522,538 - VILLA CRESPO,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Juan Ramirez De Velasco 745 (Villa Crespo) ,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089300,1089300,sucursales,1,-34.7693634,-58.6451543,54 - GONZALEZ CATAN,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Jose Maria Moreno 400,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089301,1089301,sucursales,1,-34.544364,-58.471821,542 - SAAVEDRA,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Av Cabildo 4316 (Saavedra) ,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089302,1089302,sucursales,1,-34.60315,-58.385229,544 - BALVANERA,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Talcahuano 475 (San Nicolas) ,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089303,1089303,sucursales,1,-34.629103,-58.439518,547 - PARQUE CHACABUCO,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Av Del Barco Centenera 801 (Parque Chacabuco ) ,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089304,1089304,sucursales,1,-34.5999938,-58.4032685,548 - BALVANERA,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Paso 752 (Balbanera) ,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089305,1089305,sucursales,1,-34.860558,-57.9032607,55 - ENSENADA,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl La Merced 220,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089306,1089306,sucursales,1,-34.6436537,-58.4927124,56 - VILLA LURO,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Cl Juan B. Alberdi 4730,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089307,1089307,sucursales,1,-34.5376215,-58.5117145,57 - VICENTE LOPEZ,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Gral De San Martin 3800,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089308,1089308,sucursales,1,-34.615999,-58.408296,58 - BALVANERA,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Cl La Rioja 465,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089309,1089309,sucursales,1,-34.7793172,-58.3102963,59 - SAN FRANCISCO SOLANO,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Jose Andres Lopez 2346,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089310,1089310,sucursales,1,-34.6289482,-58.4642662,6 - FLORES,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Cl Artigas 26,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089311,1089311,sucursales,1,-34.6248959,-58.4938555,60 - FLORESTA,7790070507242,Autoservicio,AR-C,,,152.02,,,True,Cl Segurola 1178,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089312,1089312,sucursales,1,-31.860934,-59.031579,6039 - VILLAGUAY,7790070507242,Autoservicio,AR-E,,,152.02,,,True,Leopoldo Herrera Y Crispin Velazquez ,Supermercados DIA,ENTRE RIOS,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089313,1089313,sucursales,1,-31.3889553,-58.0152199,6040 - CONCORDIA,7790070507242,Autoservicio,AR-E,,,152.02,,,True,Coldaroli 78,Supermercados DIA,ENTRE RIOS,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089314,1089314,sucursales,1,-31.8696614,-59.0284795,6047 - VILLAGUAY,7790070507242,Autoservicio,AR-E,,,152.02,,,True,Rivadavia 29,Supermercados DIA,ENTRE RIOS,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
