,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1077244,1077244,sucursales,1,-34.1641136,-58.9579757,233 - CAMPANA,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Belgrano 390,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077245,1077245,sucursales,1,-33.8939905,-60.5690737,234 - PERGAMINO,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Julio A Roca 281,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077246,1077246,sucursales,1,-34.1959,-60.732517,237 - ROJAS,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Julio Iribarne 291,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077247,1077247,sucursales,1,-34.5907998,-58.4353056,239 - VILLA CRESPO,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Cordoba 5101,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077248,1077248,sucursales,1,-34.6031233,-58.4637523,24 - VILLA CRESPO,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Av.San Martin 2687,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077249,1077249,sucursales,1,-34.6178375,-58.4425506,241 - CABALLITO,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Rojas 243,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077250,1077250,sucursales,1,-34.5872269,-58.4821776,242 - PARQUE CHAS,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av De Los Incas 5260,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077251,1077251,sucursales,1,-34.061751,-60.104689,243 - ARRECIFES,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Ricardo Gutierrez 435,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077252,1077252,sucursales,1,-34.5773372,-58.5032059,245 - VILLA PUEYRREDÓN,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Gral J. G. Artigas 5467,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077253,1077253,sucursales,1,-34.8940464,-60.0228134,248 - CHIVILCOY,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Ceballos 172,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077254,1077254,sucursales,1,-34.7116294,-58.2820677,25 - BERNAL,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Belgrano 388,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077255,1077255,sucursales,1,-35.767071,-58.493309,250 - GENERAL BELGRANO,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av España E/J De La Fuente Y Paz 700,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077256,1077256,sucursales,1,-35.398366,-59.330897,251 - ROQUE PEREZ,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Mitre E Hipolito Yrigoyen 1183,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077257,1077257,sucursales,1,-34.5816907,-58.4223268,252 - PALERMO,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Thames 2447,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077258,1077258,sucursales,1,-35.005151,-59.278074,253 - NAVARRO,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Bme Mitre Esq Sarmiento 431,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077259,1077259,sucursales,1,-34.6266864,-58.4245818,254 - BOEDO,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av San Juan 4231,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077260,1077260,sucursales,1,-35.1888412,-59.0967829,256 - LOBOS,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Pte Peron 345,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077261,1077261,sucursales,1,-37.15398,-58.487377,257 - AYACUCHO,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Alem 925,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077262,1077262,sucursales,1,-34.442858,-59.446896,258 - SAN ANDRES DE GILES,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Rivadavia 569,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077307,1077307,sucursales,1,-34.7073674,-58.4181855,26 - LANUS,7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Clsan Vladimiro 3165,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077308,1077308,sucursales,1,-33.6787416,-59.6679614,260 - SAN PEDRO (Bs. As.),7790070012050,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Belgrano 949,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077309,1077309,sucursales,1,-34.6051859,-58.3847811,261 - SAN TELMO,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Cl Sarmierto 1282,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077310,1077310,sucursales,1,-34.6355448,-58.4483758,262 - PARQUE CHACABUCO,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Eva Peron 1790,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
1077311,1077311,sucursales,1,-34.6401732,-58.4813056,263 - PARQUE AVELLANEDA,7790070012050,Autoservicio,AR-C,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,186.37,186.37,,,True,Av Lacarra 574,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,COCINERO,Aceite de Girasol Cocinero 900 Ml,900.0 ml,2022-08-25,Cluster 1
