,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1079047,1079047,sucursales,3,-34.561751,-58.462283,Vidal 2357,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Vidal 2357,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079048,1079048,sucursales,3,-34.620277,-58.506577,Jonte 4872,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Álvarez Jonte 4872,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079049,1079049,sucursales,3,-34.584822,-58.40004,Las Heras 2643,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Gral. Las Heras 2643,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079050,1079050,sucursales,3,-34.577797,-58.424332,Godoy Cruz 2793,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Godoy Cruz 2793,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079051,1079051,sucursales,3,-34.603042,-58.391768,Lavalle 1749,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Lavalle 1749,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079052,1079052,sucursales,3,-34.592437,-58.410869,Charcas 3171,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Charcas 3171,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079053,1079053,sucursales,3,-34.593956,-58.41291,Billinghurst 1380,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Billinghurst 1380,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079054,1079054,sucursales,3,-34.597351,-58.374515,Paraguay 521,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Paraguay 521,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079055,1079055,sucursales,3,-34.554653,-58.46029,Cuba 2776,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Cuba 2776,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079056,1079056,sucursales,3,-34.591312,-58.412544,Charcas 3315 II,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Charcas 3315,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079057,1079057,sucursales,3,-34.572189,-58.446058,Lacroze 2566,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Federico Lacroze 2566,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079058,1079058,sucursales,3,-34.601177,-58.378613,Tucumán 831,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Tucumán 831,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079059,1079059,sucursales,3,-34.58114,-58.473713,Los Incas 4466,7790387015324,Supermercado,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. De Los Incas 4466,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079060,1079060,sucursales,3,-34.599672,-58.372053,Viamonte 351,7790387015324,Supermercado,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Viamonte 351,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1079061,1079061,sucursales,3,-34.569917,-58.450469,Amenábar 1187,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Amenábar 1187,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
